"code_insee","area_ha","evo espaces urbains (ha)","evo espaces d'activités (ha)","evo espaces urbains en mutation (ha)","evo espaces agricoles (ha)","evo espaces naturels (ha)"
"01001",1561.993409499903,1.2420670576350000,3.4290580635240000,0.02851856912000000000,-4.3289526344050000,-0.3706910558740000
"01002",917.5479220000068,2.3118780707830000,0.00000000000000000000,0,-5.9107786378170000,3.5989005670340000
"01004",2450.8825550000265,31.2869890512370000,5.7401577485320000,-9.7029137456840000,-18.8368431428690000,-8.4873899112160000
"01005",1601.4204784997958,4.4192647862240000,0.0015019269060000,1.95171936315600000000,-13.9806853238580000,7.6081992475720000
"01007",3364.809144000181,-21.2805692002500000,35.3652869390640000,6.7237643190030000,-22.5879733199850000,1.7794912621680000
"01008",517.4643189999832,1.4491179207920000,0.8109989015650000,-1.07412412584000000000,0.9326266941330000,-2.1186193906500000
"01013",1403.1247115003114,0.6361422649070000,0.5005497856680000,0,-4.1459924219750000,3.0093003714000000
"01017",780.6593885002053,0.0000000000000000,0.0000000000000000,0.0000000000000000,-0.5718867618920000,0.5718867618920000
"01021",551.0948890001965,2.9001845740440000,1.8945446155880000,-1.4518789839110000,-3.7877358800260000,0.4448856743050000
"01027",1796.6694824997146,3.4299518890140000,2.7826416494680000,-8.8850630562930000,-0.5943313224070000,3.2668008402180000
"01028",905.5630765004107,9.5495575233890000,2.0567572950280000,0,-11.6063148184170000,0.0000000000000000
"01030",98.0071610000379,1.5989327594820000,-0.41435305735600000000,0,-0.9568513752870000,-0.2277283268390000
"01032",1333.5612384999295,5.9583791856360000,5.2548658767490000,-6.6783220543310000,-3.2029772591970000,-1.3319457488570000
"01037",1533.5936824999055,1.1088596489370000,0.3106740667320000,-0.26064395603300000000,-0.5656433463110000,-0.5932464133250000
"01041",342.7426585000605,1.0276919270140000,0.0000000000000000,0.00000000000000000000,-0.9921414872290000,-0.0355504397850000
"01043",1067.2941600000438,4.5860512044820000,43.4647933268370000,-28.6444672210750000,-27.2373551673370000,7.8309778570930000
"01045",1574.8176709999623,0.1492995155320000,0.6673957763180000,1.55346508638500000000,16.1021980609510000,-18.4723584391860000
"01054",898.3890979999433,6.3296051683190000,0.00000000000000000000,-1.2723133551710000,-4.8928577229440000,-0.1644340902040000
"01047",940.9535310001003,6.3159448060200000,7.5401644280580000,6.0999224315520000,-19.4395837519950000,-0.5164479136350000
"01049",940.9626799999826,4.9865337762290000,45.1417987084200000,-43.2166146259060000,-10.7840441792170000,3.8723263204740000
"01052",2619.6483520000147,4.2952961726830000,-0.6121986906190000,0,-63.9346898299750000,60.2515923479110000
"01056",1668.8132369998848,1.8564277692620000,0.73579104768100000000,0,-7.6944303533390000,5.1022115363960000
"01077",775.1769520002231,1.7907155926920000,0.0000000000000000,0,-1.7907155926920000,0.0000000000000000
"01062",764.3704080000435,5.3424410156980000,1.2017173396360000,-1.64745928066000000000,-4.5496349682250000,-0.3470641064490000
"01064",1229.6171670003678,12.4618459594550000,4.5054785770930000,-0.4493019628940000,-17.4151253215040000,0.8971027478500000
"01068",1207.9020625001995,0.5291484886680000,0.0000000000000000,0,-0.5291484886680000,0.0000000000000000
"01074",3293.969864000089,6.8129235052960000,3.6559289671680000,-1.96110292571700000000,-10.6801055454920000,2.1723559987450000
"01075",1706.6599404998478,4.2726604465770000,6.8455270008200000,2.93231402910600000000,-13.9744674582190000,-0.0760340182840000
"01076",462.8453615003025,0.4399230518430000,0.0000000000000000,0,9.1126483348010000,-9.5525713866440000
"01166",807.6402819999362,7.4042830530160000,-1.5899322261670000,-0.5113752360550000,-13.1381527443680000,7.8351771535740000
"01083",1270.8684014999915,11.2696866218620000,4.4280208835180000,0.01322510461000000000,-18.6466969844810000,2.9357643744910000
"01085",1366.7198779999883,7.4920191080980000,0.0000000000000000,0,-3.5101104764760000,-3.9819086316220000
"01088",658.9576630002161,1.1486059703020000,1.2242541330610000,-1.36414954952400000000,-1.5232414792500000,0.5145309254110000
"01089",1604.2493195002323,16.2815511480250000,18.5901360721120000,-27.0879601021140000,-7.5526523710630000,-0.2310747469600000
"01090",1519.2216410000588,1.4992038782740000,0.10013991473600000000,0,-3.8901426274380000,2.2907988344280000
"01092",1407.5549885000426,2.5456926236150000,0.0000000000000000,0.86435186837500000000,-12.1577341046910000,8.7476896127010000
"01093",1805.1774844999384,13.5293342102790000,19.6105068778400000,-6.5568554089010000,-13.0690213094890000,-13.5139643697290000
"01111",1531.1398440002056,0.2939601034140000,0,0,0.0000000000000000,-0.2939601034140000
"01183",447.11124149988126,4.8528517633150000,3.1539902505690000,-4.9673939299220000,-2.6861055479840000,-0.3533425359780000
"01099",2204.5296259997162,7.3107581761210000,-3.8838884182680000,-0.09885717117900000000,-2.7908119863420000,-0.5372006003320000
"01105",2013.9469959998041,14.9481598692170000,17.8141148272050000,12.72583452819200000000,-46.5885005883620000,1.1003913637480000
"01107",771.0689229996548,0.1277474299350000,0,0,1.3352654467340000,-1.4630128766690000
"01113",2172.090786999997,3.6017733343680000,0.5696551848410000,0,-36.6591099668900000,32.4876814476810000
"01129",1323.2698259998645,2.9497193750850000,0.0000000000000000,0,-17.9749961318880000,15.0252767568030000
"01142",682.3255924998937,6.3724934955720000,9.4760806365260000,-0.3709124186790000,-15.5026800458270000,0.0250183324080000
"01146",476.7274130000769,0.9216900038850000,0.6116331553770000,-0.70958321705500000000,-0.8237399422070000,0.0000000000000000
"01149",519.3317629999826,4.1926119863310000,0.05565742312300000000,-2.93314633487600000000,-1.6252993047300000,0.3101762301520000
